Operacao,TamanhoEntrada,TempoExecucao(ns),MemoriaUso(bytes)
I,5245,200,0
I,5250,300,0
I,5255,300,0
I,5260,300,0
I,5265,300,0
I,5270,300,0
I,5275,300,0
I,5280,300,0
I,5285,300,0
I,5290,300,0
I,5295,300,0
I,5300,300,0
I,5305,300,0
I,5310,300,0
I,5315,200,0
I,5320,300,0
I,5325,300,0
I,5330,300,0
I,5335,200,0
I,5340,300,0
I,5345,200,0
I,5350,300,0
I,5355,300,0
I,5360,300,0
I,5365,300,0
I,5370,300,0
I,5375,300,0
I,5380,300,0
I,5385,300,0
I,5390,200,0
I,5395,300,0
I,5400,300,0
I,5405,300,0
I,5410,300,0
I,5415,300,0
I,5420,300,0
I,5425,300,0
I,5430,300,0
I,5435,200,0
I,5440,300,0
I,5445,300,0
I,5450,300,0
I,5455,300,0
I,5460,200,0
I,5465,300,0
I,5470,300,0
I,5475,400,0
I,5480,500,0
I,5485,400,0
I,5490,300,0
I,5495,300,0
I,5500,300,0
I,5505,200,0
I,5510,300,0
I,5515,300,0
I,5520,300,0
I,5525,300,0
I,5530,300,0
I,5535,300,0
I,5540,400,0
I,5545,400,0
I,5550,300,0
I,5555,400,0
I,5560,400,0
I,5565,200,0
I,5570,300,0
I,5575,300,0
I,5580,200,0
I,5585,300,0
I,5590,300,0
I,5595,200,0
I,5600,300,0
I,5605,300,0
I,5610,300,0
I,5615,300,0
I,5620,300,0
I,5625,300,0
I,5630,200,0
I,5635,300,0
I,5640,300,0
I,5645,300,0
I,5650,300,0
I,5655,300,0
I,5660,200,0
I,5665,300,0
I,5670,300,0
I,5675,200,0
I,5680,300,0
I,5685,300,0
I,5690,300,0
I,5695,300,0
I,5700,300,0
I,5705,200,0
I,5710,300,0
I,5715,200,0
I,5720,300,0
I,5725,300,0
I,5730,300,0
I,5735,300,0
I,5740,300,0
I,5745,300,0
I,5750,200,0
I,5755,200,0
I,5760,300,0
I,5765,300,0
I,5770,200,0
I,5775,200,0
I,5780,300,0
I,5785,300,0
I,5790,200,0
I,5795,300,0
I,5800,300,0
I,5805,300,0
I,5810,300,0
I,5815,300,0
I,5820,300,0
I,5825,300,0
I,5830,300,0
I,5835,300,0
I,5840,200,0
I,5845,300,0
I,5850,300,0
I,5855,300,0
I,5860,300,0
I,5865,300,0
I,5870,200,0
I,5875,300,0
I,5880,300,0
I,5885,300,0
I,5890,300,0
I,5895,200,0
I,5900,300,0
I,5905,200,0
I,5910,200,0
I,5915,300,0
I,5920,200,0
I,5925,300,0
I,5930,300,0
I,5935,200,0
I,5940,300,0
I,5945,300,0
I,5950,300,0
I,5955,300,0
I,5960,300,0
I,5965,300,0
I,5970,300,0
I,5975,300,0
I,5980,300,0
I,5985,300,0
I,5990,400,0
I,5995,300,0
I,6000,400,0
I,6005,300,0
I,6010,400,0
I,6015,400,0
I,6020,400,0
I,6025,400,0
I,6030,400,0
I,6035,300,0
I,6040,400,0
I,6045,400,0
I,6050,200,0
I,6055,200,0
I,6060,300,0
I,6065,200,0
I,6070,300,0
I,6075,400,0
I,6080,400,0
I,6085,500,0
I,6090,400,0
I,6095,500,0
I,6100,400,0
I,6105,400,0
I,6110,400,0
I,6115,500,0
I,6120,400,0
I,6125,400,0
I,6130,500,0
I,6135,500,0
I,6140,400,0
I,6145,500,0
I,6150,400,0
I,6155,500,0
I,6160,500,0
I,6165,500,0
I,6170,500,0
